UPC,ISRC,Store,Store service,Sales/streams,Gross Royalties (USD)
,CALVP1903197,ITunes,iTunes Store,117,71.4672797990570610014706929240
628810561599,QM24S1916116,GooglePlay,Google Play Locker,6,0.0008737722560721201837614880
672985397491,CAENV2043858,Saavn,Saavn,497,0.7868890453026960039024509291
,CAGOO2068468,ITunes,iTunes Store,7,2.0930381188658172483683191414
628810965274,CALVP2002252,Amazon,Music Premium Service,278,4.8092124213002723555298054919
,CAHQJ2184062,ITunes,iTunes Store,12,8.1831373102416594186873209926
628810561599,QM24S1916116,Pandora,Pandora,1,0.0034472358252868605203563861
692531021106,CAGOO2100165,TikTok,Streaming,2,0.0038092620905471457955417651
672985850156,CAHQJ2197917,Kuwo,Streaming,1,0.0001521332696145638265236843
672985183742,CACWV2018984,Rhapsody,Streaming,4,0.0235777343414781789246864880
672985631182,USLZJ1888276,QQMusic,Streaming,9113559,5432.1127312272851641269946839042
628810561858,QM24S1913190,QQMusic,Streaming,345,0.3477078523721549610585063108
672985370258,CAENV2030178,GooglePlay,Google Play Download Store,1,0.0907742436136925610246319645
672985702912,CAHQJ2106266,QQMusic,Streaming,5,0.0041543657118071623994902497
672985382008,CAENV2037366,Anghami,Streaming,35,0.0405411775877267882140120957
672985559677,CAGOO2044001,OK.ru,OK.ru,10,0.0022702044836728907049938611
672985598324,CAGOO2068468,Netease,Netease,1965,0.9478161981444933946633441771
628810561544,QM24S1920887,Resso,Streaming,33,0.0373303859634336358419072512
,CALVP2053160,ITunes,Apple Music,3361,12.1302286317239845940015904856
672985491366,CAGOO2006319,Resso,Streaming,29,0.0332735712107888411404431210
628810742141,CAHQJ1951322,YouTube,Streaming,2934,18.8664393360111450254869662577
628810560813,QM24S1906868,Tidal,Tidal,37,0.3497258576694472339550329277
672985829381,CAHQJ2184062,KKBox,Kkbox,18,0.0648632049740656580940206066
628810528974,CAGOO1942139,Rhapsody,Streaming,212,1.1766989069600380475764735859
628810528974,CAGOO1942139,Boomplay,Streaming,83,0.0958245763872852752235940084
628810612284,CAGOO1984027,Netease,Netease,1793,1.1245554179268768796171978019
672985370258,CAENV2030178,Amazon,Music Premium Service,101,0.7702920842311498705478013597
672985702912,CAHQJ2106266,YouTube,Content ID,17,0.1104731213601946410486967138
672985453845,CAENV2080948,Netease,Netease,771,0.4016802437710208557884469946
672985854369,CAENV2101722,Tidal,Tidal,39,0.3657863197014300178357553058
672985105386,CALVP2073121,Netease,Netease,97,0.0229307380554068933262352374
672985545014,CAGOO2036067,OK.ru,OK.ru,1,0.0002722025632897751645201452
672985929517,CAENV2149514,BOOM App UMA,BOOM App UMA,550,0.7064739413342056142079506239
672985083943,CALVP2062669,TDC Play Musik,Streaming,25,0.1532535447874402469201667657
672985609693,CAGOO2074915,VKontakte,VKontakte,116441,30.5303052415271911989358721601
672985861015,CAENV2106588,BOOM App UMA,BOOM App UMA,162,0.1976457520115423280911843934
628810909476,CALVP1934369,YouTube,Content ID,1155,4.5307042530620130630822362596
628810965274,CALVP2002252,SoundtrackYourBrand,Streaming,6,0.0054390482025774204751346791
628810699889,CAHQJ1930439,GooglePlay,Google Play Download Store,1,0.6051337149507070469909989001
,CAHQJ2147168,ITunes,iTunes Match,54,0.0397874894747606678445624012
672985954885,CAENV2164647,YouTube,Content ID,14,0.0159341094749114196132992633
628810943173,CALVP1951456,Rhapsody,Streaming,191,0.7811112462923259337792191677
672985020382,CALVP2025588,Deezer,Deezer,3115,13.5962700338027893230472130580
628810561810,QM24S1919430,IHeartRadio,IHeartRadio,4,0.0640604579090491271399714563
,CAHQJ2128297,ITunes,iTunes Match,11,0.0029295753282964565195827391
672985705159,CAHQJ2107431,Rhapsody,Streaming,16,0.0829049567524170881787281148
672985261242,CACWV2063398,YouTube,Content ID,1905,3.2250886228360471950774451248
628810846559,CALVP1903197,GooglePlay,Google Play Locker,489,0.1067186999067573548670362816
628810560813,QM24S1906868,Kuwo,Streaming,24,0.0138533831532356676555412839
692531089960,CAGOO2136880,YouTube,Content ID,3,0.0084649362831926403185317543
628810560851,QM24S1826608,IMusica,Streaming,4,0.0228497336403358551526459332
628810965274,CALVP2002252,QQMusic,Streaming,503,0.3499427492300614075447185007
,CAHQJ1951322,ITunes,Apple Music,16258,108.0282129124198056686504594789
672985397491,CAENV2043858,Kuwo,Streaming,1,0.0001521332696145638265236843
672985781016,CAHQJ2153230,Spotify,Spotify,135001,370.7543302978648143639455193340
672985705159,CAHQJ2107431,YouTube,Streaming,2801,13.5787478055970718738004868401
628810560813,,Amazon,Digital Music Store,1,0.6967890014695645448217186171
,CAHQJ2016754,ITunes,Apple Music,493,2.9176942738155888506022531204
628810561544,QM24S1920887,Spotify,Spotify,9489,26.4026375070471327981743501482
628810561858,QM24S1913190,GooglePlay,Google Play Music Streaming,226,1.2546794061080670848672629746
672985382947,CAENV2037872,TikTok,Streaming,23,0.0412617886246691912553624707
,CACWV2063398,ITunes,iTunes Match,72,0.0202350856451725083149996272
628810943173,CALVP1951456,GooglePlay,Google Play Locker,7,0.0026286329753825132950606924
628810477371,CAGOO1916989,Deezer,Deezer,1129,7.3866449409564480491433387021
672985491366,CAGOO2006319,Saavn,Saavn,8,0.0200520532262055485807878382
672985954885,CAENV2164647,Netease,Netease,2,0.0002593051518226055791540094
672985609693,CAGOO2074915,Yandex,Streaming,665,1.1485439266274193160467008777
628810561513,QM24S1915972,Deezer,Deezer,988,3.0657192202581265824713650610
628810534401,QM24S1831517,Saavn,Saavn,9,0.0164700368863885408519426073
628810909476,CALVP1934369,Yandex,Streaming,1195,1.9473075119750235384236517653
628810933068,CALVP1946334,VKontakte,VKontakte,541,0.0617436307739324696399796320
692531247810,CACWV2122094,QQMusic,Streaming,32,0.0424440826273510216995561213
692531139849,CAGOO2163741,YouTube,Streaming,1,0.0135646098860637478988956438
628810561513,QM24S1915972,Boomplay,Streaming,30,0.0093715970483681792509962857
672985770416,CAHQJ2147168,TikTok,Streaming,40,0.0872634778852134312115311119
672985631182,USLZJ1888276,IMusica,Streaming,81,0.8102253581706856343095124782
,USLZJ1888276,ITunes,Apple Music,1645733,8130.7686900932211419558303984712
672985861015,CAENV2106588,YouTube,Streaming,276,1.1156140920111461251332610319
672985974739,CAENV2176626,Netease,Netease,991,0.6837436177080195017031489901
672985093942,CALVP2068437,YouTube,Streaming,120,0.8273924430676951499628400329
672985702912,CAHQJ2106266,Tidal,Tidal,16,0.0904931425543875970828605614
628810560813,QM24S1906868,YouTube,Streaming,11652,55.6887181351910592779558365761
672985799073,CAHQJ2165143,Kuwo,Streaming,1,0.0021585154289220902136202828
628810612284,CAGOO1984027,Tidal,Tidal,295,1.6701235521806219140138410517
672985722880,CAHQJ2117718,Anghami,Streaming,1598,1.8520359722135448389420640280
692531080790,CAGOO2132230,YouTube,Content ID,473,0.5406694859759298455426577338
672985382008,CAENV2037366,VKontakte,VKontakte,1121,0.1854362796779536001091176137
628810560813,QM24S1906868,OK.ru,OK.ru,16,0.0035571768109694991187839808
628810534401,QM24S1831517,MediaNet,Streaming,30,0.0598868817848468062636238772
672985678217,CAHQJ2016754,BOOM App UMA,BOOM App UMA,51,0.0650252159448373987847248259
628810528974,CAGOO1942139,Amazon,Music Premium Service,20523,66.9583342498383925770115179555
672985581159,CAGOO2057827,Kugou,Streaming,7,0.0010461295180283950515053680
672985637429,CAGOO2091608,Resso,Streaming,42,0.0470642814008568713011446889
672985954885,CAENV2139579,BOOM App UMA,BOOM App UMA,19,0.0289317933235930015945326598
,CAGOO2068468,ITunes,Apple Music,1577,6.6201960746070211804952837501
672985020382,CALVP2025588,Anghami,Streaming,204,0.1172509750285266511374148650
628810742264,CAHQJ1951349,GooglePlay,Google Play Locker,92,0.0305676268965583412372668141
628810612284,CAGOO1984027,TikTok,Streaming,53,0.0881019677368804290961900412
628810561599,QM24S1916116,Rhapsody,Streaming,1,0.0054404570895762235625076717
672985770416,CAHQJ2147168,YouTube,Streaming,5583,38.8456696061391444502412773093
,CAGOO2106771,ITunes,iTunes Store,9,6.5650285766921234043521673911
628810560875,QM24S1904071,Kugou,Streaming,8,0.0056671679780362459665501454
628810528974,CAGOO1942139,KKBox,Kkbox,215,0.9856591591222876421687356787
672985183742,CACWV2018984,Deezer,Deezer,1656,6.1498253541216809938101970055
672985954885,CAENV2164647,VKontakte,VKontakte,70,0.0219772142909130002997294775
672985020382,CALVP2025588,Spotify,Spotify,483737,1119.4957904038979040654117273341
672985093942,CALVP2068437,Netease,Netease,42,0.0065132986790697634060706347
628810561513,QM24S1915972,Anghami,Streaming,60,0.0304939170789962552362658672
672985102477,CALVP2073075,Yandex,Streaming,216,0.1747967702575302512371807418
672985383128,CAENV2038021,Deezer,Deezer,254,0.8589052856787210354600317640
628810561513,QM24S1915972,Kuwo,Streaming,74,0.0448086002240131955449348489
672985631182,USLZJ1888276,BOOM App UMA,BOOM App UMA,2723870,3229.4110502419286903895172227852
672985581159,CAGOO2057827,YouTube,Streaming,2631,18.3367487433963172652235491080
672985382947,CAENV2037872,Kuwo,Streaming,1,0.0001521332065661061050354316
672985609693,CAGOO2074915,Anghami,Streaming,9,0.0091817516510541145996377203
672985545014,CAGOO2036067,TDC Play Musik,Streaming,5,0.0297269172397948820773440207
672985491366,CAGOO2006319,IMusica,Streaming,1,0.0038994944158882081781692929
672985491366,CAGOO2006319,VKontakte,VKontakte,67216,11.6134118934695190251886390984
628810561513,QM24S1915972,Spotify,Spotify,63270,174.4345964121551779096133743970
672985383128,CAENV2038021,Tidal,Tidal,95,0.4681907801833251757677667638
628810561513,QM24S1915972,SoundtrackYourBrand,Streaming,9,0.0073518200573823261569580153
672985581159,CAGOO2057827,TikTok,Streaming,2,0.0024146621615997198433568610
628810742264,CAHQJ1951349,GooglePlay,Google Play Download Store,1,0.6746096397632821646704917624
628810846559,CALVP1903197,SoundtrackYourBrand,Streaming,3,0.0025725066187933866472587863
628810534333,QM24S1910617,Line,Streaming,177,0.8054893804803765846084356259
672985183742,CACWV2018984,Tidal,Tidal,67,0.2385313199507667098041147401
672985954885,CAENV2164646,Spotify,Spotify,52754,130.0182350298192032359002504738
692531160546,CAGOO2175180,Yandex,Streaming,225,0.2785683446804895304859884007
,QM24S1913190,ITunes,iTunes Store,5,3.2771885730134799481630393875
